9,84,33:31
8,77,33:32
12,80,33:32
4,89,33:32
17,79,33:32
4,89,33:32
17,79,33:32
4,90,33:32
18,76,33:32
5,90,33:32
21,78,33:32
24,79,33:33
18,82,33:33
15,89,33:33
25,89,33:33
26,90,33:33
3,89,33:33
30,92,33:33
38,78,33:34
41,77,33:34
44,81,33:34
45,77,33:35
46,80,33:35
49,82,33:35
50,85,33:35
52,89,33:35
57,80,33:35
64,77,33:36
64,87,33:36
66,81,33:36
66,87,33:36
68,89,33:36
70,86,33:37
72,82,33:37
76,79,33:37
76,80,33:37
81,84,33:37
83,91,33:38
86,79,33:38
3,89,33:38
87,80,33:38
89,79,33:38
91,82,33:38
91,84,33:38
92,83,33:39
94,80,33:39
96,87,33:39
97,69,33:39
99,93,33:39
98,90,33:39
101,89,33:39
105,70,33:39
106,84,33:39
108,83,33:40
111,90,33:40
115,81,33:40
117,81,33:40
118,89,33:40
119,84,33:41
120,88,33:41
121,83,33:41
125,92,33:41
128,85,33:41
132,84,33:42
135,86,33:42
138,85,33:42
139,84,33:42
141,83,33:42
145,82,33:43
145,81,33:28
148,85,33:28
149,83,33:29
156,78,33:29
154,86,33:29
